thresholdstart:125.11, thresholdend:625.72, # hashes 1, # space: 400000 # cm buckets 100000 - loss 0.0 time: 0.018140554428100586 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 1, # space: 400000 # cm buckets 100000 - loss 0.0 time: 0.01944446563720703 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 1, # space: 400000 # cm buckets 100000 - loss 0.0 time: 0.03487706184387207 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 1, # space: 400000 # cm buckets 100000 - loss 0.5587138447263709 time: 0.10210466384887695 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 1, # space: 400000 # cm buckets 100000 - loss 2.7395634205399895 time: 1.72593355178833 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 2, # space: 400000 # cm buckets 50000 - loss 0 time: 0.03445267677307129 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 2, # space: 400000 # cm buckets 50000 - loss 0.0 time: 0.027179241180419922 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 2, # space: 400000 # cm buckets 50000 - loss 0.0 time: 0.02662062644958496 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 2, # space: 400000 # cm buckets 50000 - loss 0.0 time: 0.026406526565551758 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 2, # space: 400000 # cm buckets 50000 - loss 0.09835305033634888 time: 0.10211730003356934 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 2, # space: 400000 # cm buckets 50000 - loss 3.7451417335736523 time: 2.2090232372283936 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 3, # space: 399996 # cm buckets 33333 - loss 0 time: 0.02787160873413086 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 3, # space: 399996 # cm buckets 33333 - loss 0.0 time: 0.02620220184326172 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 3, # space: 399996 # cm buckets 33333 - loss 0.0 time: 0.021681547164916992 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 3, # space: 399996 # cm buckets 33333 - loss 0.0 time: 0.04099106788635254 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 3, # space: 399996 # cm buckets 33333 - loss 0.030137572935067716 time: 0.12023425102233887 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 3, # space: 399996 # cm buckets 33333 - loss 5.128701731388935 time: 2.796813488006592 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 4, # space: 400000 # cm buckets 25000 - loss 0 time: 0.036206960678100586 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 4, # space: 400000 # cm buckets 25000 - loss 0.0 time: 0.03858542442321777 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 4, # space: 400000 # cm buckets 25000 - loss 0.0 time: 0.030919313430786133 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 4, # space: 400000 # cm buckets 25000 - loss 0.0 time: 0.0282745361328125 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 4, # space: 400000 # cm buckets 25000 - loss 0.01564869832093214 time: 0.15488862991333008 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 4, # space: 400000 # cm buckets 25000 - loss 6.670573670508129 time: 3.2232749462127686 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 1, # space: 466664 # cm buckets 116666 - loss 0 time: 0.03313040733337402 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 1, # space: 466664 # cm buckets 116666 - loss 0.0 time: 0.030377626419067383 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 1, # space: 466664 # cm buckets 116666 - loss 0.0 time: 0.01639246940612793 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 1, # space: 466664 # cm buckets 116666 - loss 0.0 time: 0.023541688919067383 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 1, # space: 466664 # cm buckets 116666 - loss 0.461145905822315 time: 0.09461808204650879 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 1, # space: 466664 # cm buckets 116666 - loss 2.345840843301109 time: 1.8031511306762695 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 2, # space: 466664 # cm buckets 58333 - loss 0 time: 0.02918100357055664 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 2, # space: 466664 # cm buckets 58333 - loss 0.0 time: 0.03759312629699707 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 2, # space: 466664 # cm buckets 58333 - loss 0.0 time: 0.031699180603027344 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 2, # space: 466664 # cm buckets 58333 - loss 0.0 time: 0.028589487075805664 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 2, # space: 466664 # cm buckets 58333 - loss 0.08516674696215407 time: 0.09866070747375488 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 2, # space: 466664 # cm buckets 58333 - loss 3.095271906348426 time: 2.4078404903411865 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 3, # space: 466656 # cm buckets 38888 - loss 0 time: 0.03790903091430664 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 3, # space: 466656 # cm buckets 38888 - loss 0.0 time: 0.0212857723236084 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 3, # space: 466656 # cm buckets 38888 - loss 0.0 time: 0.03249001502990723 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 3, # space: 466656 # cm buckets 38888 - loss 0.0 time: 0.04768991470336914 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 3, # space: 466656 # cm buckets 38888 - loss 0.014756526238780937 time: 0.1456758975982666 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 3, # space: 466656 # cm buckets 38888 - loss 4.214575709578168 time: 4.207038164138794 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 4, # space: 466656 # cm buckets 29166 - loss 0 time: 0.046599388122558594 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 4, # space: 466656 # cm buckets 29166 - loss 0.0 time: 0.03728747367858887 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 4, # space: 466656 # cm buckets 29166 - loss 0.0 time: 0.023509740829467773 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 4, # space: 466656 # cm buckets 29166 - loss 0.0 time: 0.03406882286071777 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 4, # space: 466656 # cm buckets 29166 - loss 0.01090234284388773 time: 0.11593389511108398 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 4, # space: 466656 # cm buckets 29166 - loss 5.455342545560471 time: 3.0717568397521973 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 1, # space: 533332 # cm buckets 133333 - loss 0 time: 0.06163525581359863 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 1, # space: 533332 # cm buckets 133333 - loss 0.0 time: 0.041944265365600586 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 1, # space: 533332 # cm buckets 133333 - loss 0.2916578221184462 time: 0.07164621353149414 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 1, # space: 533332 # cm buckets 133333 - loss 0.0 time: 0.05509591102600098 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 1, # space: 533332 # cm buckets 133333 - loss 0.4393055332512535 time: 0.214599609375 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 1, # space: 533332 # cm buckets 133333 - loss 2.065570666521019 time: 2.633718729019165 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 2, # space: 533328 # cm buckets 66666 - loss 0 time: 0.030321359634399414 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 2, # space: 533328 # cm buckets 66666 - loss 0.0 time: 0.029690265655517578 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 2, # space: 533328 # cm buckets 66666 - loss 0.0 time: 0.027125120162963867 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 2, # space: 533328 # cm buckets 66666 - loss 0.0 time: 0.023468017578125 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 2, # space: 533328 # cm buckets 66666 - loss 0.040468925646378676 time: 0.09515094757080078 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 2, # space: 533328 # cm buckets 66666 - loss 2.622087497951827 time: 2.173920154571533 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 3, # space: 533328 # cm buckets 44444 - loss 0 time: 0.03532886505126953 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 3, # space: 533328 # cm buckets 44444 - loss 0.0 time: 0.02176046371459961 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 3, # space: 533328 # cm buckets 44444 - loss 0.0 time: 0.033667802810668945 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 3, # space: 533328 # cm buckets 44444 - loss 0.0 time: 0.023668289184570312 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 3, # space: 533328 # cm buckets 44444 - loss 0.0134717984404832 time: 0.1223745346069336 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 3, # space: 533328 # cm buckets 44444 - loss 3.5215431390755003 time: 3.0768120288848877 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 4, # space: 533328 # cm buckets 33333 - loss 0 time: 0.034189462661743164 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 4, # space: 533328 # cm buckets 33333 - loss 0.0 time: 0.03565692901611328 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 4, # space: 533328 # cm buckets 33333 - loss 0.0 time: 0.029816150665283203 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 4, # space: 533328 # cm buckets 33333 - loss 0.0 time: 0.021319866180419922 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 4, # space: 533328 # cm buckets 33333 - loss 0.0068161947076352085 time: 0.13426780700683594 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 4, # space: 533328 # cm buckets 33333 - loss 4.550523421996468 time: 3.6200079917907715 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 1, # space: 600000 # cm buckets 150000 - loss 0 time: 0.036255836486816406 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 1, # space: 600000 # cm buckets 150000 - loss 0.0 time: 0.01947474479675293 sec 
